Timestamp,Q1: The goals of the lab and homework were clearly defined and communicated,Q2: The instructions of the lab and homework were clearly defined and easy to follow,"Q3: If you answered somewhat disagree or disagree to the previous question, what was unclear about the instructions?",Q4: How was the difficulty of this homework assignment compared to the previous ones?,Q5: The technical setup process was easy,Q6: How long did completing the homework take you?,Q7: The concept of metamorphic testing was understandable after completing this lab,Q8: Do you think testing AI/ML systems should be a larger part of the Software Testing course?,"Q9: Overall, what I learned in the lab is relevant for working in the software industry","Q10: Additional feedback:
Please feel free to share any feedback you have about this lab. You can answer one or more of the following questions, or comment on anything else you found important:

- What was the most difficult part of this lab?

- What would you improve in the lab structure, materials, or tasks?

- Would you recommend keeping this lab in future versions of the course? Why or why not?"
4/16/2025 12:21:26,Somewhat agree,Agree,Instructions were spread out or not easy to navigate,About the same difficulty,Somewhat agree,5-10 hours,Agree,Yes,Agree,"The setup and understanding tasks was the hardest. I would improve materials and explanations. Yes I would keep it in, solving these tasks was interesting."
4/16/2025 12:21:29,Agree,Agree,,About the same difficulty,Agree,2-5 hours,Somewhat agree,No,Somewhat agree,"Finding the bug concerning speed in one of the calculators was difficult with purely metamorphic testing.

I think it was a good practical, definitelly can keep it in"
4/16/2025 12:21:38,Agree,Somewhat agree,,Slightly more difficult than previous assignments,Somewhat disagree,5-10 hours,Somewhat disagree,No,Agree,"The most difficult part was understanding what and  how it should be done.  

Perhaps more  side  cases should be  discussed when describing the setup since the  whole lab was dedicated to fixing different setup errors.

Yes, I recommend, because it was a new and interesting branch of software testing that will definitely be useful in the future."
4/16/2025 12:21:48,Somewhat agree,Somewhat agree,"Instructions were spread out or not easy to navigate, Some instructions were hard to follow due to grammar or wording, Didn't understand how to apply metamorphic testing",Slightly more difficult than previous assignments,Agree,2-5 hours,Agree,Yes,Agree,"The most difficult part of the lab was analyzing the results of Task 2, I would make the lab document more compact and easier to track. I would recommend keeping this lab in future versions of this course, because after completing it I felt like I understood how testing really matters"
4/16/2025 12:22:32,Agree,Agree,,About the same difficulty,Agree,Under 2 hours,Agree,Yes,Agree,Materials and tasks were easy to follow and understandable. I would recommend keeping this lab.
4/16/2025 12:24:01,Agree,Somewhat agree,Techinal setup instructions were lacking,About the same difficulty,Somewhat agree,2-5 hours,Agree,Yes,Agree,"The most difficult part was implementing the image processing for the AI system test, thinking of the relations was actually quite fun and interesting.
There should be some kind of technical FAQ so that the common problems setting up the environment would be more easily solved. Maybe there could be some keywords or instructions how to analyse the models performance more in depth.
I would recommend keeping this lab, because AI and machine learning are becoming a bigger part of the software industry and this kind of testing doesn't seem to be covered in the data science courses. Seems like an actually useful topic."
4/16/2025 16:21:54,Agree,Agree,,About the same difficulty,Agree,2-5 hours,Agree,Yes,Agree,For me the instructions of the tasks were clearer and better than in any other homework.
4/16/2025 16:48:45,Agree,Somewhat agree,,About the same difficulty,Somewhat agree,2-5 hours,Agree,Yes,Somewhat agree,"In the future please specify, that in Appendix B f1-score should be taken from earlier info. Task is good."
4/17/2025 11:59:30,Agree,Agree,,Easier than previous assignments,Agree,2-5 hours,Somewhat agree,Yes,Somewhat agree,I would recommend this in future versions of the course because everyday AI is becoming more and more an actual topic.
4/17/2025 14:24:12,Agree,Agree,,Slightly more difficult than previous assignments,Agree,5-10 hours,Agree,Yes,Agree,"This lab felt closest to testing real world applications, not just toy programs."
